,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
ANAMBRA,Evaporated tinned milk carnation 170g,120,120.35999999999999,120.72107999999997,121.08324323999996,130,123.333333333333,123.673333333333,125,130.42,133.674560022872,134.015583702941,134.357630454049
ANAMBRA,"Evaporated tinned milk(peak), 170g",131.66666666666652,137.083333333333,136.041666666666,142.028985507246,145.3571428571425,142.065217391304,139.391304347826,140.3787878787875,144.907407407407,158.266130489056,157.5,159.583333333333
ANAMBRA,Frozen chicken,1116.6666666666652,1188.3333333333298,1243.75,1020.53571428571,1230,1212.5,1358.3333333333298,1383.3333333333298,1408.88888888889,1393.79243192095,1377.777777777775,1341.6666666666652
ANAMBRA,"Gari white,sold loose",117.990266666666,129.380633333333,122.717644927536,139.259583333333,156.9821428571425,177.171557971014,194.10735119047553,215.5495833333325,201.15160714285702,193.725956353614,196.96984649122749,247.231866666667
ANAMBRA,"Gari yellow,sold loose",136.8564583333325,134.022133333333,143.4843840579705,167.738333333333,206.45869047619,211.57340579710097,197.559545454545,224.06606060606, ,226.39484359489052,240.9166885964905,242.966666666666
ANAMBRA,Mudfish (aro) fresh,785.33,787.68599,790.0490479699998,792.4191951139097,794.7964526992514,797.1808420573491,799.572384583521,801.9711017372715,804.3770150424832,901.740652775921,904.4458747342487,907.1592123584513
ANAMBRA,Mudfish : dried,2057.14,2222.22,1866.67,1866.7,1871.7001,2222.22,1842.11,1966.67,1966.67,2375.9077762208854,2383.0354995495477,2390.184606048196
ANAMBRA,Onion bulb,192.076666666666,195.28371794871748,198.0717948717945,181.536818181818,125.073333333333,213.3912499999995,170.41291666666598,178.94272727272698,226.8891666666665,223.459845860483,211.783095238095,212.2684848484845
ANAMBRA,Rice agric sold loose,207.97841666666602,245.81,241.734469696969,253.755277777777,268.644833333333,344.60166666666646,311.2693928571425,380.78758333333303,419.9949275362315,418.047206125,419.982058823529,395.40773809523796
ANAMBRA,Rice local sold loose,152.2047916666665,174.75528985507202,212.299333333333,203.9666666666665,217.73066666666648,277.8036956521735,266.39927536231846,322.97395833333303,348.2899999999995,304.303924554704,320.540328947368,328.904933333333
ANAMBRA,Rice Medium Grained,165.0834375,166.0616666666665,239.502692307692,221.8841666666665,240.685714285714,285.0827777777775,293.6766346153845,357.7355,368.639583333333,320.906922138554,361.32714285714246,380
ANAMBRA,"Rice,imported high quality sold loose",208.807708333333,213.8806956521735,278.37363333333303,291.43541666666647,325.8790773809515,380.85104166666645,343.6143749999995,397.823125,474.1148148148145,465.1649317499995,470.445526315789,488.724583333333
ANAMBRA,Tomato,237.4799999999995,222.11282051282,230.98820512820453,299.4884848484845,811.90452380952,790.3199999999995,727.247083333333,301.41397727272647,327.903749999999,341.37725046995,325.12773809523753,301.0556666666665
ANAMBRA,Yam tuber,111.58045454545399,121.4091666666665,128.208333333333,166.89,176.471818181818,230.9266666666665,146.465897435897,159.467727272727,199.147115384615,165.518360832579,161.1613888888885,161.47
EBONYI,Agric eggs medium size,363.392857142857,356.1111111111105,375.4166666666665,392.9166666666665,383.33333333333303,383.7549999999997,401.25,415,416.015416419761,500.964922738131,437.1428571428565,439.04761904761847
EBONYI,Agric eggs(medium size price of one),30.05952380952375,30.8333333333333,31.66666666666665,31.66666666666665,56.35416666666665,35.41666666666665,35.41666666666665,39.16666666666665,53.8079963324566,46.1766765394164,39.4444444444444,41.66666666666665
EBONYI,"Beans brown,sold loose",350,334.375,325,387.5,384.375,312.5,425,503.125,454.90222968750004,487.2971428571425,496.13687499999946,513.125
EBONYI,Beans:white black eye. sold loose,285.83333333333303,277.083125,320.83333333333303,337.5,352.08333333333303,312.5,370.83333333333303,410.4166666666665,439.207690239533,458.772318396916,477.77749999999946,472.083333333333
EBONYI,Beef Bone in,778.5699999999999,846.153333333333,850,872.7,995.455,872.7275,866.6666666666665,864.771,1050.895659400565,980.37476193918,1091.55857142857,951.19
EBONYI,"Beef,boneless",1108.3333333333298,1106.25,1120,1200,1116.6666666666652,1201.0428571428552,1166.6666666666652,1271.92333333333,1334.81931544288,1399.24412620626,1364.28571428571,1350.71428571428
EBONYI,Bread sliced 500g,223.75,232.7777777777775,228.958333333333,229.16666666666652,234.16666666666652,302.7777777777775,342.8571428571425,278.75,319.5168760557375,310.3304761904755,310.4166666666665,359.375
EBONYI,Bread unsliced 500g,172.708333333333,281.25,187.29166666666652,178.333333333333,203.75,263.88888888888846,300,241.458333333333,249.19869822690953,285.533809523809,311.1111111111105,309.375
